,0
Cursed Rack,6
Feldon's Cane,6
Blood Lust,6
Carrion Ants,6
Crimson Manticore,6
D'Avenant Archer,6
Greed,6
Holy Day,6
Nicol Bolas,6
Pyrotechnics,6
Remove Soul,6
Angry Mob,6
Brothers of Fire,6
Carnivorous Plant,6
Diabolic Machine,6
Flood,6
Fountain of Youth,6
Ebon Stronghold,6
Archangel,6
Ascendant Evincar,6
Deflection,6
Karplusan Forest,6
Nature's Lore,6
Untamed Wilds,6
Spitting Earth,6
River Boa,6
Exhaustion,6
Giant Octopus,6
Natural Spring,6
Phantom Warrior,6
Wood Elves,6
Hidden Horror,6
Mogg Fanatic,6
Grave Pact,6
Lone Wolf,6
Angelic Page,6
Confiscate,6
Looming Shade,6
Polluted Mire,6
Swords to Plowshares,6
Beast of Burden,6
Elvish Piper,6
Sengir Vampire,6
Royal Assassin,6
Soltari Priest,6
Armadillo Cloak,6
Flametongue Kavu,6
Terminate,6
Demolish,6
Dusk Imp,6
"Kamahl, Pit Fighter",6
Demystify,6
Festering Goblin,6
Krosan Tusker,6
Enormous Baloth,6
Twisted Abomination,6
Furnace Whelp,6
Mind Control,6
Garruk Wildspeaker,6
Elvish Visionary,6
Berserk,5
Illusionary Mask,5
Abu Ja'far,5
Aladdin,5
Ali Baba,5
Cyclone,5
Fishliver Oil,5
Hasran Ogress,5
Hurr Jackal,5
Mijae Djinn,5
Sandstorm,5
Argothian Pixies,5
Ashnod's Battle Gear,5
Bronze Tablet,5
Obelisk of Undoing,5
Ornithopter,5
Rakalite,5
Strip Mine,5
Triskelion,5
Akron Legionnaire,5
Amrou Kithkin,5
Cat Warriors,5
Concordant Crossroads,5
Cosmic Horror,5
Craw Giant,5
Cyclopean Mummy,5
Elder Land Wurm,5
Eternal Warrior,5
Force Spike,5
Gauntlets of Chaos,5
Immolation,5
Juxtapose,5
Land Tax,5
Rubinia Soulsinger,5
Apprentice Wizard,5
Barl's Cage,5
Blood Moon,5
Bog Rats,5
Brainwash,5
Cave People,5
